abandon 放弃，抛弃
ability 能力，才能
absolute 绝对的，完全的
accept 接受，承认
access 接近，进入
accident 事故，意外
accompany 陪伴，伴随
accomplish 完成，实现
account 账户，解释
accurate 准确的，精确的
achieve 达到，完成
acquire 获得，取得
adapt 适应，改编
adequate 足够的，充分的
adjust 调整，适应
administration 管理，行政
advance 前进，发展
advantage 优势，好处
adventure 冒险，奇遇
advertise 做广告，宣传
advice 建议，忠告
affect 影响，感动
afford 负担得起
agency 代理，中介
aggressive 侵略性的，好斗的
agriculture 农业
aid 帮助，援助
aim 目标，瞄准
alarm 警报，惊慌
alcohol 酒精
alert 警觉的，警报
alter 改变，更改
alternative 可供选择的，替代物
although 虽然，尽管
altitude 海拔，高度
altogether 完全地，总共
amateur 业余爱好者
amazing 令人惊异的
ambition 雄心，野心
amount 数量，总额
ancient 古代的，古老的
annual 每年的，年度的
anticipate 预期，期望
anxiety 焦虑，忧虑
apologize 道歉
apparent 显然的，表面上的
appeal 呼吁，吸引
appear 出现，显得
appetite 食欲，欲望
applaud 鼓掌，赞许
application 申请，应用

